Index_No,Date,Review,Rating (0 - 5)
107,2023-06-03,"Latest update: once again, they've broken the sound settings so stories default to sound ON rather than OFF making it extremely annoying to browse while listening to anything. ---- Every few updates, Instagram ruins their sound settings and makes stories play at full volume by default. Abysmal user experience. We use our phones for music, or sometimes do not want some loud video to start playing in a public setting. You've broken this and fixed it before. Now you have broken it again. Fix it.",1
108,2023-07-25,Works great a lotta the time but the amount of times I've had to redownload or reset this godforsaken app because it wasn't sending my messages or letting me see them absolutely isn't worth it. It's gone so downhill since I first got it. There are so many times where I'll have full wifi and service and it won't let me see my messages anyway. Not to mention the themes resetting all the time.,2
109,2023-05-28,"Videos won't play any sound unless I click on them and go into the whole video watcher. I can't just scroll by and listen. Half the time the little sound button in the bottom right corner isn't there. When it is, pressing it takes me into the video watcher rather than just turning on the sound like it used to. Idk if this is intentional or an error in Instagram. I hope it's not intentional because that would be a very stupid decision. Please fix it.",2
110,2023-06-05,I like the app overall. Though I would like to make some recommendations to make it even better. It'd be nice to pin highlights to the profile. I really like the idea of highlights and hope that you guys can expand more on it. Itd also be cool to add a feature of adding different songs/music to multiple photos. ð,4
111,2023-06-16,"Latest updates messed everything up. From videos appearing stretched out, to messages not appearing in DMs when I send them (person who receives them can see them, but I can't), it's just glitch after glitch. When scrolling through reels, the comments from the previous reel will appear on the next, etc. It's an absolute mess. Please fix.",2
112,2023-05-16,"So many issues lately with seeing a million posts from the same page, and not showing any others (stupid algorithm). Additionally, issues with stretching images when choosing how to crop. Also issues with images drifting far to the side and leaving a mysterious black border on one side when posting. Lately messages won't unsend, and even refreshing the home page doesn't bring up new posts or new messages (despite getting notifications that there are some).",1
113,2023-05-22,"Reels issues! It is frustrating to be editing reels just to be kicked out for no reason & the reels you've been painstakingly trimming disappear without even being saved! I've tried several times & the same thing keeps happening. I have a brand new phone, I checked for IG updates, etc. And it still does the same thing. Ugh!!",1
114,2023-06-09,"Unable to disable double tap to like. Anytime I tap the screen, the result is potentially unintentionally liking an image. If I want to like media, I will take the time to select the heart icon. It's a rather straightforward methodology I do not need a shortcut to like a media post. This just seems to be lacking user experience testing.",2
115,2023-06-16,"After the latest update, for some reason now, whenever I navigate to the app from a notification, it goes into light mode. But only partially, the posts and featured comments are light, but the rest are dark with black type, making parts of the page impossible to see and the other parts so bright it gives me a headache. The only way to reset it back to dark mode is to force close the app and reopen, which then resets all the posts (which is a different level of annoying).",2
116,2023-05-23,"I think Instagram is a great platform, but they push for reels too much. It also really needs to be fixed, because I can't even post multiple photos. Everytime I edit the first photo and move onto the next, it glitches or crops the previous photo I just edited and it's unpostable. I have to post all my pics through my computer and there are fewer editing options on the Instagram website as compared to the app. This is supposed to be a photos sharing app and I can't even post photos properly.",3
117,2023-06-16,"App is super glitchy and constantly has something going on with it. Either it won't show texts sent from people, or photos, or open at all. Definitely needs a bug fixing update. Update 06/16/23: now it's not staying on dark mode like it's set to? its glitchy and never stays. I've checked for updates like 17 times and there's nothing. I'm also just not getting the new stuff?? Needs SERIOUS fixing.",1
118,2023-06-08,"It doesn't show chats/messages like it's supposed to. A message that I can see on the online desktop site doesn't show up on the app whatsoever, not even a notification. Multi photo posts have a tendency to be on the second slide which is very annoying. The ""x weeks ago"" format is not cool, and scrolling is buggy on the app when there's reels in the feed, especially on the online desktop version.",2
119,2023-06-29,"This app is stupid, I can't even post instagram stories anymore, I can only post a picture with no editing done whatsoever. But when I add multiple pictures to the story and a music choice the story doesn't want to upload, it's just stuck on ""uploading"" for a long time. Then when I exit the app and come back to it to see if my story uploads it completely deletes everything I did and this has been going on for a while. I used to be really active on Instagram but now I'm not for this reason.",1
120,2023-05-13,"was texting a friend today when they sent photos, and i was told i HAD to update the app in order to look at them. when i updated the app everything looked normal, however as i started using it more once home, i noticed that i can no longer share posts from my explore page, or anywhere for that matter, to my story. and when i went to my direct messages, they took out the ability to see who is active at a quick glance, and we can no longer put short messages to our profiles. please, stop updating",1
121,2023-06-20,"What's up with Reels? First you force us all into using them, and now you can't make them work to save your lives. It's clear I'm not the only one after reading through all of these recent reviews. I've never had an issue uploading video posts as reels before, and havent been able to upload even one clip for days now (but can view other's reels just fine and also post to stories). I've tried all of the recommended fixes out there and nothing has worked.",1
122,2023-06-07,"After years of wanting it, you can finaly save a reel to your specific save catalogs from the reel. I had that feature for 4 days and then one day, it vanished. My saved became set up like the ""old"" version. I've updated the app multiple times yet I'm still being forced to an older version ONLY ON MY MAIN ACCOUNT. My other account has ALL the features out there. Not just some. But all. Fix the app Zuckerberg",2
123,2023-05-23,Editing and uploading reels is a nightmare--there are too many glitches during the editing process. I've lost reels that I've worked hard on for work because of the error message on the lack of connection. It is painfully frustrating since i'm on my own wifi. I get the same error code when I do it over mobile data. I do everything on capcut and then upload it to reels because of all the issues. Fix your gd app!,1
124,2023-05-21,"Instagram is absolute trash now. ""Couldn't refresh page"" haunts me. I've had to uninstall and reinstall the app one to many times and now it's not even letting me sign into my accounts or anything. It just takes me to a""couldn't refresh this page"" screen when I open the app. I've lost so many accounts when I hardly even do anything to lose them. So much of my work and time spent to be thrown away like that. Please start listening to your viewers/downloaders and fix your app. 1 star.",1
125,2023-06-03,"It's fine until it's not. Like most of the time it works as you would expect, but then you go to upload and edit a photo and while using the sliders to edit the photo it tries to give you a seizure by flashing a bunch and not showing you how the photo looks. I've also edited a whole photo, upload it, and then it actually uploaded like 1 out of 2 photos or uploaded a previous photo somehow and now I have two of the same photos. Normally it's about a 4 star but it really is a seizure warning.",1
126,2023-06-05,"What the hell happened?!? ð± I can't load vids, if I add music to my pictures it blacks out the image, loading multiple images is failing in so many ways. First if I try to edit it either stretches the image or will not properly crop them, if I don't try to edit them I can't center the images. I have tried to remove the app completely but now I cannot log into my original account. The code sent was not sent, twice to my phone and twice to my email. Your toys are broken ððð¼",1
127,2023-05-21,"I have had Instagram for a long time and there have been bugs and issues but this is ridiculous. I cannot share anything to my story. I am only able to share in a group or in DMs. I've gone into every section of settings on my phone and the app, uninstalled and reinstalled, and cleared cache. Nothing has changed. I don't have an old phone and the app is completely updated. Please fix this.",1
128,2023-05-06,"Something changed and now my photos are skewed. Not sure what happened but when I attempted to post a photo last week and again today, when I move to the filter section the entire photo is stretched out and blurry. It's not a problem with the photo since I can post elsewhere without issue. Please fix. Thanks.",2
129,2023-06-06,"Update: still so many bugs that could be fixed. 1) Restore archived videos show in profile as photo instead of the whole video. 2) the date stamp is in weeks and not the actual date. I would think after 4 weeks it would transition to date but it doesn't 3) when posting more than 1 photo, you can't add music. Likely more but not making it a good experience",2
130,2023-06-04,"it's become even more of an inconvenience. been lagging to a point where it becomes nearly unusable and getting my phone unusually warm after a bit (never did any of that in the past), the save menu showing up and covering most of the screen when i choose to save a post is pretty obnoxious, and chats haven't worked right for a long time because entire conversations in group chats simply don't load half the time. my friends have had the same issue with chats.",1
131,2023-05-26,Recently I lost the sound to all of my videos from a few years ago.. The only place they were saved was on Instagram and for some reason IG has removed the sound... It's a bummer because now they are all ruined.. I'm an artist and poet and now no one can hear some of my earlier work... Super bummed out about this! I've updated latest version the app.,1
132,2023-05-13,"App has two bugs but not sure if one is a bug or just a new restriction. First bug is posting multiple photos is impossible as it keeps messing up one or more photos position no matter what you do. The second is the disappearance of the ""Add post to story"" option. You can now only seem to share public posts to friends only and not to your stories?!",1
133,2023-05-21,What's going on with insta right now! My messages are being sent and I was right in the middle a good conversation too! I can't even see my own feed on my page nor anyone elses. I can't even watch video feeds. It's like insta has shut down. I tried to force stop the app to refresh it but that didn't work because it's still doing the same thing.,1
134,2023-05-05,"They removed the date posted from all posts and now only show in terms of how many weeks ago it was. Who the hell thinks about time in terms of how many weeks ago it was? The answer is no one. Put the date back. Using this platform as a journal of sorts to keep track of events and my photos, this change is a huge let down. Might have to find a different platform to use if they keep it this way.",2
135,2023-05-18,"Has so many glitches and has gone downhill ever since facebook bought it. Often won't let me post my story and when I click on external links and then come back to the app, the dark theme turns light and I can't read the text. The shopping tab is completely useless and not what the app was meant for at all. Update: I now no longer have the ""share post to story"" feature. Where the button has moved for others, mine is simply absent.",1
136,2023-05-18,"The new scheduling feature doesn't fully work. It'll work if you try to upload it sometimes nut more often than not you get the error that the internet isn't working. But when tested my internet is fine. Then when a reel or video is scheduled, it does not show up in the main feed even though the option is turned on. Instagram forces you to schedule longer than 90 second videos within the app, otherwise it cuts things off to fit in a 4:5 format in Meta Business Suite.",2
137,2023-05-13,"Edit: I can post again, though the app still has many problems still Instagram won't let me post anything. I've tried closing the app and restarting my phone, but I'm still unable to post. Messaging friends is a problem as well. Way too often my messages will take too long to send. And even if they do send, the person I am messaging doesn't always recieve them.",1
138,2023-06-22,"Overrun with ads, algorithm feeds the same sponsored content over and over. Direction of the app has been pushing me away over the years, likely to uninstall if it gets any worse. I just wanted to see the content I selected, not the garbage Insta pushes, especially when I see the same thing multiple times in a single session.",2
139,2023-05-13,"I love instagram and I've used it for years. But why in the world can I no longer reshare posts on my story? That's a fundamental part of the experience on Instagram--authentic connection and exposure based on who you follow and not a botched algorithm. Also, having to click the log in button again and again when signing in and out of my business and personal profiles is irritating and wastes time. Please fix these bugs.",1
140,2023-05-21,"Lots of glitches and errors now. Mainly with loading certain things it'll just say it's an ""error"" or something's wrong with your connection even though it can be perfectly fine. Also random bugs with chatting and it suddenly going to a random person while your trying to text a current person. Not sure what's the problem recently but hopefully it'll get fixed.",1
141,2023-05-15,"So many issues with this app. I no longer have music options, the colors get desaturated when I try to upload and post them so I need to reedit them in the app. And I'm now having issues with stories failing to post and the app has been crashing all day. May 13 2023 update - now I can't repost to my story, whether it's someone else's post or my own. I can't reshare anything I'm tagged in. I restarted and even uninstalled. It didn't help. It reappeared a day later only to disappear again.",1
142,2023-05-21,"Unbelievable let down in reel editor. Constant loading issues, and often have to re-edit videos because of these limitations. I am currently completely locked out of the app after clearing cache, uninstalling/reinstalling, to try and help the issue... It's truly mind boggling how something that was already perfect is now having all of these astronomically inconvenient issues...",1
143,2023-06-16,"I'm giving this app such a low score because of how infuriating it is. There is ALWAYS a bug or a glitch that I have to deal with. The app is almost never working completely smoothly. You would think after how many feature updates and new things they add that they would take the time to address these issues, but no. There are always new ones popping up. If only they didn't care about trying to keep up with TikToks UI, maybe this app would work good. Please get on top of these bugs.",2
144,2023-05-05,"insta is constantly rolling out updates that make your life more inconvenient on the app. they constantly remove and change features while ignoring bugs and glitches. the app has gotten slower and more frustrating over the years to the point that I consistently think of ditching the app altogether. I use it as a useful tool for news and connecting with a small group of friends rather than entertainment. tiktok does that a million times better. if you can avoid insta entirely, I highly advise it",1
145,2023-06-09,"EVER since they started pushing reels above anything else, the app went downhill. Reels is CONSTANTLY glitching for me and I can never get it fixed. So I can't post content that would help my page. Yall want everyone to do reels to try to compete with TikTok but then can't make it actually work. It's glitch after glitch! If I record a video of me talking, the audio delays a full second. The last second of every audio always cuts off. Now audio isn't saving in drafts!! This app sucks anymore.",2
146,2023-05-23,"Have a creator account, needs 4 steps to finish setting up. For some reason, the final step is to post something, so I do, and the step still isn't complete. I suspect this is the reason I don't have my notes, as they are on every single account but my main. Not only that the layout gets confusing when they constantly move stuff. Fix this and ill happily give 5 stars. @instagram",1
147,2023-07-26,"Reels are problematic. They take up my entire feed, and they only show half the screen. Ever since reels became a thing, the app has been glitchy, and I don't see most posts till 3 days or later. I know, I could click on the top right corner and just choose to see posts I follow, but I wish we could just keep that as the default option (depending on what you choose). As well, it would be nice to have the option to turn reels off. It was a great app, before reels. That's all.",1
148,2023-07-26,"Ofc I love instagram and everything but there's this problem that I've been having for abt a year and I really need it fixed. Whenever I try posting a story or post or whatever it always says ""Unable to load image"" and it doesn't even show me the pictures. I can't post anything without clicking ""Other"" but it recently got updated and doesn't even show the ""Other"" option anymore. Please, please, fix this as soon as possible. Thank you!!",4
149,2023-07-22,"Hello!! Overall, Instagram has been a very good social media platform for me. It's recommendations are relative and viewing experience is great. I'd just like to add that whenever I want to feature a story on :add yours:, I can't select multiple images at the same time. I'm sorry I wrote this here because I felt like it would be too much for it to be a 'Technical Problem'. Overall, Instagram is a good social media platform and has very few bugs (if any) and fully functional ð.",5
150,2023-07-25,"I love this app. But the new features (notes, dm replies and reactions) are not available on my account. The app shows it's updated and when I had created a new account on the same phone, all of the features were available. I have unistalled the app and installed again several times but no result. I have contacted the support center more than once, but nothing has changed and I haven't received a reply. It's a shame.ð¥º",1
151,2023-07-09,"Used to love the app, but lately there have been a lot of issues with it. There are a lot of bugs, A lot of the time I'll open the app and then it will immediately close and this keeps happening for a long time. The app frequently switches from dark mode to light mode for no reason without being switched. Often images sent won't load. There is also the issue of the algorithm. Since the removal of the ""recent posts"" option on hashtags it is increasingly difficult for small creators to use this",1
152,2023-07-26,"Just a suggestion, whenever I try to put something in story with a Android device the quality of the pictures/videos decreases. Although my settings are on high resolution still I see drop in quality of pictures. If you guys can solve this issue, it'll be a much better experience for all the Android users. Thanks.",4
153,2023-07-17,"it harder to find old photos (below), the pointless new change to 'X weeks ago' instead of the actual date makes it even more difficult to look back at old photos. It makes no sense/adds no value! I think there needs to be a way to better browse your own posts (even something like the old photo map was great). This is becoming an increasing problem as one posts more, and something that would drastically impr",2
154,2023-07-25,"It's the only social media app I use daily but it does come with plenty of bugs in repeated/unrefreshed stories, unresponsive drafts & light/dark mode glitching out often even after clearing cache and restarting the app. It can be really annoying. Same goes to the algorithm and omitted features that seem to no longer prioritize smaller creators on the platform. I will continue to use it to keep up with my friends but it would be great if all of the above could be fixed somehow.",3
155,2023-07-25,"It's a great app, but something is driving me crazy. I am using Instagram on my tablet, and every time a reel comes up, a giant black bar appears on the right side of the screen. This didn't happen beforehand, and it's so incredibly ugly. Please change this. Like move the video to the middle of the screen like it's not hard come on it's so ugly.",2
156,2023-07-16,"Instagram is really good, it's a great form of social media. For some reason my old account got disabled and instagram won't reenable it. Another problem I have is that whenever I'm scrolling through reels, I'll be liking and saving videos, but sometimes, after I like the video and go to save it, my screen freezes and becomes unresponsive before I can save it. It's quite annoying since I've now lost the video that I was interested in since most of your reals come from people you're not following",4
157,2023-07-22,"It all started off so well and I have been enjoying the experience until now. I have set up a page for my dog and I can no longer due to some bug post reels for him. I have tried using the report a problem, re installed the app, signed out and in, cleared the app cache and as of yet have had zero response from anyone. Nothing seems to work and no one seems to care. Very disappointed..",2
158,2023-07-20,"App crashes, switches betqeen dark and light kode when opening certain pages, explore page has long wait time and shows the same posts all the time. With the recent update, highlights no longer show. If you have two accounts and switch between them, you always get a notification and red dot to say there's a notification but there is nothing. The app is unusable at this point and very frustrating. Edit: I am unable to post reels or videos, and I can't even report a bug.",1
159,2023-07-22,"Too many bugs with every new update. The reel option at the centre of the home tab can not be seen anymore. I cant even scroll to see the next reel. Its really disappointing. Please fix this. Edit- 22/7/2023 The issue has not been fixed until now. I have reported this problem from the 'Help' section, but still nothing has happened yet. I have tried everything from reinstalling the app to clearing cache, but no luck at all. Really disappointed. ð¡",1
160,2023-07-23,"it used to be fantastic, but now it's awful. It used to automatically save my photo uploads to a folder on my phone storage. Now it does not despite ticking the option. In top of that, I often have to repost a picture at least 2 to 5 times for the photo to not be completely loaded with visual glitches... like a bad attempt at an Andy Warhol portrait. So frustating.",2
161,2023-07-18,"Dear Instagram, The message button option & the Poll option is not available on my instagram account. I've updated the app to the latest but I still cannot find the Poll option . As well it's been a long time since I've complained about the message button option but no steps have been taken. I request you to kindly look for both the option and make it available as it is very important for me as a content creator to interact with audience. Thankyou !",4
162,2023-07-08,"Android user here. July 8, 2023 9:37pm Hello, thank you for returning the dates to the better format. But there's another glitch that I noticed, the ribbon end on the lower right corner of the photo is gone when you visit the profile, you can't save a photo on the folders but on the feeds, it's present. I hope you can get it fixed too. It's a very convenient tool for bookmarking photos for inspiration when you browse profiles.",3
163,2023-07-23,"Whenever I upload a post (very rarely) there always seems to be a glitch that either zooms in, moves my image, or crops my photos. My app oftens crashes whilst i make a post as well. I also find it annoying and ironic that it is a creativity/ 'photography' app but yet you cannot alternate between a portrait and landscape photo. I am finding myself going to Facebook for the job/ role in which instagram used to play.",2
164,2023-07-24,"I really hate the update to carousels that automatically advance, it doesn't work if you want to spend more than 3 seconds looking at an image. I use Instagram for quality photo content not whatever this is designed for. I'm not a goldfish, I can concentrate on something for longer than that. At least make a setting to allow me to turn it off!",1
165,2023-07-06,"Everything in this app is functioning and some of the recent features are present except that it doesn't have the Ig Notes feature. Updated it to the latest version, tried uninstalling it then install again, changed the location to an accurate one, and my phone is updated to the latest Android software and still, the feature didn't came out. All the people that I know that have Instagram and lives in the same area as I do has this feature yet mine doesn't. I hope this can be fixed. Thank you",3
166,2023-06-30,"Used to really enjoy this app but recently there's a glitch that I cannot seem to solve. Any time I upload a video to a post, it stretches the video before playing it. This has been happening for about a month now and I've tried being on different data, different settings on my phone, etc. However it must be down to an upgrade because it never used to happen. Makes my posts look very clunky and unappealing when each video has a second or 2 delay of stretching before playing the content.",2
167,2023-07-09,"While it works most of the time, I've been having an issue that just makes me hate the app a little. Everytime I try to log onto the app, it crashes saying it has a bug. So I uninstall and reinstall. It works...temporarily. 30 minutes go by and it still crashes. This isn't an issue with my account but the app itself. Please get this sorted",2
168,2023-07-21,"I don't bother using this app anymore and have moved to tiktok. It does weird things to my videos e.g. the thumbnail is upsidedown despite being a snippet of the video itself, it refuses to render, it freezes when editing videos/goes black and ultimately, it shows my stuff on the feed I don't care about. why did you change the order we see things?! The ads are also repetitive",1
169,2023-07-20,"leaving the app. It used to be a fun place I could scroll through to pass my time, but nowadays it's ruined by reels and ads. I get next to no image content at all, no matter how much i try to train the algorithm to just show me images. If i accidentally like JUST ONE SINGLE REEL, that's all i get the next few days. Stop trying to mimic tiktok! Also way too many ads, like every 4th post is just an ad. It's just annoying, and I end up wasting way too much time every time.",1
170,2023-07-14,"Instagram is pretty great. But it still has too many bugs. I'm using the OnePlus Nord and Instagram is pre-installed in it. Sometimes when you comment on a post the keyboard overlaps the comment box so you can't see what your typing. There's also been issues where you can't select a particular reel and reply to it or reach to it in your DMs. And these issues have been around for so long on so many devices including mine, hence the 3 star rating.",3
171,2023-07-09,"I'm unable to open the account from a couple of days. I sent feedback twice but the issue hasn't been resolved yet. I also tried reporting the problem through the app many times but the problem isn't getting updated. I tried logging in using different devices, reinstalling the app, changing the password, clearing the storage and cache, restarting the phone, etc but nothing helped. There is no response from the team either.",1
172,2023-07-09,My country is supported and I have the latest version of the app but still don't have the messenger update. Edit: It's getting worse and worse. I can't put images over songs on Android. Messages are not sending and being received. I have to reinstall the app sometimes in order to get my photoreply sent Edit 2: Glitches all the time. Doesn't load highlights. Music lyrics and sliders break and videos turn into still images. Edit 3: okay nvm,1
173,2023-07-12,"Been experiencing countless bugs recently. I tried to upload the same post at least 3 times, and the app kept crashing while I was editing. I would have to restart my edits from the beginning every time, and sometimes when I clicked off of the editing menu the recent edits were discarded. When I was finally able to upload my post, it took 15 minutes to upload (although that might be due to my internet) and the picture came out looking wonky.",2
174,2023-07-19,"Literally the most glitchy and buggy app I've ever used. You'd think an app built on posting pictures would at least do that successfully, but nope! And now it's seemingly abandoned pictures in favour of videos, and it doesn't do that much better either. Even if the application worked (it barely does) the algorithm and other executive decisions are loudly protested by most of the community to deaf ears. If not for the amazing artist communities, I would delete this app without hesitation.",1
175,2023-07-13,"My highlight doesn't have any sound. I've tried reinstalling Instagram and it's still the same. Other people can still hear the sound in my highlights but only I can't hear the sounds for some reason? Please fix it. Also wished there are more selection in the musics,and hope that I'll be able to select longer than 15seconds of music because 15seconds is too short duh. Also when other ppl mention me in their story I can't add it to my story anymore",1
176,2023-07-10,"This app is just getting worse. Now the story save button is all buggy. When someone tags me in their story and I want to repost it the save button just disappears and I can't save it to my gallery. The music on stoy is still blocked in my region so the music on reels is also messy. And don't get me started on the favorite feed... I would like that IF my account would have it. My newly created account has it, but the main one doesn't. No reinstall or update helped so far.",3
177,2023-07-02,"This is one of my most favorite and frequently used apps, but lately I've been running into a lot of bugs. The application automatically changes the mode from dark to light, and the text remains light and nothing is visible. I also encountered the fact that when sending reels to one person, they are automatically sent to other people. After the update, the problem with the reels did not dare.",2
178,2023-07-09,"The app has been getting more and more difficult to use with constant ads and recommendations. For the last 2 days I can't open the app without it shutting down immediately. I have tried restarting and power cycling the phone, uninstalling and reinstalling the app, clearing app cache, but no dice. Since I can't even have it open long enough to send a report I guess this is my bug report.",2
179,2023-07-20,"Glitchy and getting worse. Started off with videos and photos distorting last year, then sliding to one side after being posted so you could only see half an image. I now use another app to crop pics before posting on IG. Today I can't post a video. It keeps telling me to try another, which have tried. I've also tried reinstalling the app. Really frustrating. And don't get me started on the glut of adverts that just appear. I just want to be able to post and see my connections' content",2
180,2023-05-06,"Instagram is a great app overall! ð The user-friendly interface and engaging content keep me hooked. However, there's a small glitch with profile photos not opening upon clicking. It's a minor inconvenience, but fixing this issue would greatly improve the experience. Other than that, it's a fantastic platform for sharing moments and connecting with friends. Keep up the good work! ðð",4
181,2023-06-18,"The app overall is pretty good, packed with tons of cool features on top of the regular social media ones, such as notes and a section dedicated to reels. The ads arenât a big deal at all and don't affect your experience. However, I've recently been experiencing a lot of bugs. Sometimes when I go on to the app via a notification, or even in general, it comes out of dark mode which is annoying, especially at night. Some things are also struggling to load which can be a pain. Still recommend it.",4
182,2023-06-09,"I have mixed experience with the app. On one hand, it provided easy option for me to share and edit visual content which I really liked. On the other hand, one day, out of blue, I was blocked from posting reels, I didn't get any feedback why and for how long, they have zero support, all my reports went unanswered and that left very disappointing feeling.",2
183,2023-05-07,"It keeps restricting all the time and asking to log in again and again and resend security code all the time, too much, safe is good but too much interruptions spoil the fun. Just want to share beautiful photos and enjoy sharing beautiful things with the world, should be so challenging, there are enough challenges in life and when we are doing something for fun, it should be fun, it should not become another boring chore. Thank you!",4
184,2023-05-28,I love the concept of the app but it doesn't run smoothly! I use Instagram daily and it's getting harder every day. The app has too many bugs. I notice them especially when uploading photos. I can't crop or edit photos without them popping out of frame. That is just one example of many. Fix it please! I'd love to see the app thrive once again.,2
185,2023-07-08,"Overall the app works fine, but sometimes the app crashes while watching a lot of stories. U should do smth with memory management. Also, awful bug, when you share a post or video with somebody, the app randomly selects one additional recipient(it reproduces multiple times). The only way to distinguish is to pay attention to the button text. Either ""send"" or ""send separately"".",2
186,2023-06-10,"The UI of this app has gotten the absolute worst over the years, i have two different accounts with completely different features, the buttons aren't even aligned in some places in the last update, so many bugs. Didn't expect this from such a massive platform, with so many top designers and developers. It also used to have a seamless user experience and now it's just overloaded with features, with an average UI. Even the algorithm isn't working properly for me.",1
187,2023-06-09,"It was working well... but a recent update has caused issues. One minute I can see my like count and the next I can't. I was locked out of Insights for a day or 2, but it eventually came back. There's loads of little hiccups with it. I prefer dark mode, and that glitches back to white mode, but the text stays white, so then I have to close the app and reopen. My most 2 recent posts have gone nearly unnoticed, too. Not sure if that's part of the glitch or not.",2
188,2023-06-18,"The functionality of this app has consistently been going downhill. With the recent updates, hashtags no longer work properly. Given that this is a core feature of Instagram, as well as countless other social medias, this is unacceptable. Furthermore, the constant changing of the location of buttons makes the app frustrating to use. Even minor thing like dark mode and the number of messages you've gotten from someone don't show up properly. Do better.",1
189,2023-06-04,"It seems like with every update that ever comes out, instead of improving the app, it makes it slowly more unusable. From the miserable experience of having to do mathematics to figure out the date something was posted, to the horrifying idea of making photos stack on top of each other in your messages... quite frankly it's not really worth it anymore.",1
190,2023-06-10,"It has many recurring bugs, the layout is not adapted to personal or professional use, and the functionalities are sometimes barely usable. I don't know how many I've had to uninstall and reinstall this app, but it's appalling. As a professional user I find every functionality confusing, not user friendly, and very basic. How come you still can't add white/black borders to photos? How come you can't add the same photo multiple times to get different parts of the photo?...it just doesn't work.",3
191,2023-06-25,"Used to be amazing. Too many updates these days. Glitches when creating reels, videos .. distorts images & quality is extremely low. End up having to delete half my posts after spending hours creating them. Algorithms drive me mad. Hardly see my friends stuff anymore. Too many ads! If it's not broke, don't fix it. Hardly use it at all anymore. It's been ruined. Even when sending messages, it can duplicate them. Don't have the time, energy or patience for it. Always crashing etc",1
192,2023-05-18,"Firstly, I want to commend the Instagram app for its overall functionality and features. However, there is a significant bug that needs immediate attention. Occasionally, during app usage and while performing searches, the bottom tab and status bar turn white and become invisible. This makes navigation extremely challenging, and even worse, the text in the search bar also becomes invisible. It's frustrating and greatly affects the user experience. Developers, please prioritize fixing this issue",4
193,2023-07-25,"Stable releases are too buggy. Audio continues to play even after closing the reel. Unintended recipients are receiving the posts/ reels. Sometimes when unmuting some reel, that particular reel just freezes there although the app is functional. Somtimes it just automatically shows unread messages (have to scroll back up to reach the point where I last read the message). Sometimes when opening a comment (from in-app notifications area), tapping ""view more comments"" does absolutely nothing.",1
194,2023-07-16,I am writing to bring to your attention a recurring glitch I have been experiencing while using the vanish mode feature on your messaging platform. This issue is particularly frustrating as it results in messages being refreshed without me even getting a chance to view them. I hope you can address this problem promptly to ensure a smoother user experience.,3
195,2023-06-30,"Used to be a decent app. Now I have so many problems! I constantly lose access and then regain access to different features. Photos and videos are saving weirdly - wrong shape, size, video length, and sometimes without audio. Also, my photos and videos get distorted when uploading to stories. It's getting increasingly frustrating especially when you report a bug or problem and nothing get done about it whatsoever!",1
196,2023-07-09,"This is my go to social media platform, however I've been getting more and more bugs, where you try to open your app and then it kicks you out, saying that something went wrong and you need to update the app or clear the cache. Neither option works and there is no update to do. The quality of the pictures when posted is also incredibly reduced. The update removing the recent posts in hashtags whilst keeping the popular ones is also so bad. I do not understand why that needed to be taken away.",2
197,2023-07-25,"Seems like everytime I update Instagram, there's a new bug or two, maybe even more that come with it. I just updated Instagram after seeing that Reels aren't interactable and then I noticed that the Reels are also shaped weirdly. The app is so broken and I can't fix it even after uninstalling and reinstalling or updating the app. I'm rating it 3/5 stars but I'll change it back to a 4 once some of these bugs are fixed.",3
198,2023-07-06,"Its 2023. This is one of the most used social media apps in the word. It doesn't work. It just doesn't and never will. They dont even try to fix anything or make it work. It gets worse with every update. Literally every reel freezes midway through. More spam accounts than real ones. Its just really sad to see. Rip Instagram. Also, if saving a post takes one click but removing it from saved takes at least three clicks - all hope is lost. Maybe just fire your entire staff and hire professionals.",1
199,2023-06-15,"hello. I've been using Instagram for years now and i just now noticed a drastic change in the music library that went from having every song to only having a small part of the whole library it was before. I would like to have many songs back thank you. another thing is that music no longer plays in my old highlight stories and it just freezes. the song is available on the library, it just doesn't play on my story whatsoever. what is that about? I'm having lots of problems with that, pls fix it",3
200,2023-07-26,"IG has been my most-used social media app for years and worked well through many updates and changes. However, for the last few months, IG has become so broken and glitchy it has become very frustrating to use. First, dark mode and light mode broke through 2-3 updates with no fix - dark mode with dark text (could only see emojis), then light mode with white text. Second, comments were broken and missing or not showing at all. Now, as of today, I can not open reels and videos are framed off centr",3
201,2023-05-22,"Very disappointed that some of the features are not available for my account. There's no fix or any response despite raising multiple bug reports. Here are the main issues: 1. Not able to reply to individual messages. 2. I don't see option to react to messages. I can only like or report a message. 3. Can't change the chat background. Fyi, I have tried clearing cache, reinstalling application and also logged in thru a different device. It still doesn't work. Hope to find a solution. Cheers!",1
202,2023-06-21,"My Instagram app has degraded quite a bit. It spontaneously goes into a mix of light and dark mode, and refuses to load content. Important messages come through for notifications, but don't show up in the actual messages unless I refresh the chat list. Also, when posting multiple pictures, the settings for each picture (lighting, cropping, framing) are overridden and screwed up. Some photos are somehow half cut and on the border of my phone screen.",1
203,2023-07-14,"Oh no when you try to post photos in stories they're all glitchy not that too... Okay now the issue here is that the songs i added in my highlights stories don't want to play anymore,the pic is blurry and the sound doesn't want to come out I remember when it did that some update ago if I remember well but it was fixed for a moment and now it came back again and that's so annoying and embarrassing without music. Edit : some highlights don't load anymore too, even though they're recent.",1
